id,state,year,rate
06,California,2019,318215
08,Colorado,2019,47799
09,Connecticut,2019,30424
10,Delaware,2019,7936
11,District of Columbia,2019,5832
12,Florida,2019,177823
13,Georgia,2019,84512
15,Hawaii,2019,12135
16,Idaho,2019,13863
17,Illinois,2019,104839
18,Indiana,2019,55903
19,Iowa,2019,27080
20,Kansas,2019,24334
21,Kentucky,2019,38108
22,Louisiana,2019,36770
23,Maine,2019,11731
24,Maryland,2019,50337
25,Massachusetts,2019,60654
26,Michigan,2019,84487
27,Minnesota,2019,46693
28,Mississippi,2019,24391
29,Missouri,2019,52582
30,Montana,2019,8897
31,Nebraska,2019,16085
32,Nevada,2019,24529
33,New Hampshire,2019,11921
34,New Jersey,2019,74398
35,New Mexico,2019,16129
36,New York,2019,168670
37,North Carolina,2019,87246
38,North Dakota,2019,6489
39,Ohio,2019,100270
40,Oklahoma,2019,30884
41,Oregon,2019,35801
42,Pennsylvania,2019,110109
44,Rhode Island,2019,9076
45,South Carolina,2019,43022
46,South Dakota,2019,7393
47,Tennessee,2019,57411
48,Texas,2019,222893
49,Utah,2019,24764
50,Vermont,2019,5695
51,Virginia,2019,71066
53,Washington,2019,64963
54,West Virginia,2019,15518
55,Wisconsin,2019,50181
56,Wyoming,2019,4876
